id,kind,review_status,topic_tags,audit_note,raw,source_files,count
R0001,external_linked,external_citation_reviewed_from_available_bibliographic_context,agency,External citation item; used as literature grounding for agency. Full local PDF was reviewed only if separately present in the PDF ledger.,"Lyons, B., Pio-Lopez, L., & Levin, M. (2026). Alignment is to a virtual governor: A theory of coordination in diverse intelligence. Preprints.org. doi:10.20944/preprints202607.0220.v1. Not peer-reviewed.",papers/architecture_laws_machine_agency/paper.md;papers/habituated_reengagement/suite_c_neural_probe_transfer.md;papers/habituated_reengagement/suite_c_reengagement_under_world_change.md;papers/virtual_governor_stress_signal/paper.md,4
R0002,internal_repo,internal_companion_source_enumerated,geometry,Internal companion item; used to connect the repository lineage (geometry).,papers/metric_stack_synthesis/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0003,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/current_error_calibration/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0004,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/vector_first_order_self/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0005,internal_repo,internal_companion_source_enumerated,representation;inquiry,"Internal companion item; used to connect the repository lineage (representation, inquiry).",papers/scale_normalized_vprobe/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0006,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/world_responds/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0007,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/habituated_reengagement/suite_c_reengagement_under_world_change.md,papers/architecture_laws_machine_agency/paper.md;papers/habituated_reengagement/suite_c_neural_probe_transfer.md,2
R0008,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/planning_from_concern/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0009,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/long_horizon_bottleneck/paper.md,papers/architecture_laws_machine_agency/paper.md;papers/virtual_governor_stress_signal/paper.md,2
R0010,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/structure_compatible_generalization/structure_compatible_generalization.md,papers/architecture_laws_machine_agency/paper.md,1
R0011,internal_repo,internal_companion_source_enumerated,causal,Internal companion item; used to connect the repository lineage (causal).,papers/structure_compatible_generalization/inferred_transformations_intervention.md,papers/architecture_laws_machine_agency/paper.md;papers/virtual_governor_stress_signal/paper.md,2
R0012,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/virtual_governor_stress_signal/paper.md,papers/architecture_laws_machine_agency/paper.md,1
R0013,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,experiments/long_horizon_bottleneck/results/zzzzzzzzzzzzzzzzzzzz_api_dispatch_robustness_openai_gpt41_nano_2026_07_06.md,papers/architecture_laws_machine_agency/paper.md,1
