file,title,pages,review_depth,summary,keywords
papers/allostatic_control/paper.pdf,Allostatic State Control,10,local_pdf_text_extracted_all_pages,"Allostatic State Control Works at the Boundary - But Greedy Planning Beats Uncertainty-Aware Allostasis: An Honest Falsiﬁcation of Four Pre-Registered Gates Author. Jawaun Brown. Abstract Companion paper [13b] showed that state-dependent valence is architecturally solvable (oracle boundary feature: return 50/50) but that smooth-function-approximator alternatives (Fourier features, sign-of-margin loss) reach state-conditional competence 0.99 yet trajectory-weighted return only 24.5/50, because the agent's policy-induced state distribution concentrates on the singular E=0.5 failure point. The proposed Paper 14 was to test whether a third ""regulate"" action - letting the agent move its own internal state away from the boundary - combined with an uncertainty-aware planner, can recover return without explicit boundary representation. We ran 36 cells: 4 conditions x 3 boundary locations x 3 see",agents;geometry;concern;inquiry
papers/architecture_laws_machine_agency/paper.pdf,Architecture Laws for Machine Agency,5,local_pdf_text_extracted_all_pages,"Architecture Laws for Machine Agency: A Synthesis of the Probe- Calibration Lineage Jawaun Brown 2026-07-06 Abstract This note distills the program's practical architecture lessons from the ﬁrst-order self, probe-calibration, world-responds, planning, and long-horizon papers. The empirical arc does not show consciousness, full agency, or general intelligence. It shows something narrower and more useful: small architectural changes repeatedly determine whether an agent's behavior is tied to the intended internal structure or to a proxy. The recurring pattern is: 1. A behavior-level success appears. 2. A representation or control diagnostic shows the success is proxy-mediated. 3. A simple architecture change restores the intended causal structure. 4. A harder setting reveals the next proxy. The resulting contribution is a ledger of architecture laws for machine agency: preserve vector-valu",causal;agents;geometry;concern;ood;inquiry
papers/autopoietic_control/paper.pdf,From Active Geometry to Autopoietic Control,9,local_pdf_text_extracted_all_pages,"From Active Geometry to Autopoietic Control: Viability Slack as the Bottleneck for Adaptive Generalization Author. Jawaun Brown. Abstract Four prior empirical papers in this program established that symmetry-compatible-hypothesis volume (weakness) predicts out-of-distribution generalization [1], that the relevant symmetry group can be recovered from training data alone [2], that pixel-cosine and learned-encoder methods occupy diﬀerent operating regimes [3], and that paraphrase clusters become causally load-bearing under action coupling via supervised ﬁne-tuning [4]. Paper [4] left one strong skeptical objection: ""of course ablating a direction the head was trained to use makes the head fail."" The autopoietic theorem of Bennett & Suzuki [5] sharpens what the rebuttal needs to demonstrate. Action coupling is necessary but not suﬃcient for the Layer-3 claim; the system must also (a) preserv",causal;agents;geometry;concern;ood;symmetry
papers/causally_grounded_agents_benchmark/paper.pdf,Benchmarking Causally Grounded Finite Agents,4,local_pdf_text_extracted_all_pages,Benchmarking Causally Grounded Finite Agents Condensed Design Note for a Proxy-Resistant Agent Benchmark Jawaun Brown 2026-07-06 Source Note This note is a benchmark-facing condensation of the research program in this repository. It is not a replacement for the full empirical reports. Portable source paths: • umbrella benchmark: docs/causally_grounded_agents_benchmark.md • release schema: docs/causally_grounded_agents_release_schema.md • long-horizon benchmark card: experiments/long_horizon_bottleneck/BENCHMARK_CARD.md • long-horizon paper: papers/long_horizon_bottleneck/paper.pdf • structure-compatible generalization: papers/structure_compatible_generalization/ • Metaphysics archive name for this note: 32_Benchmarking_Causally_Grounded_Finite_Agents_2026_07_06.pdf Benchmark North Star A ﬁnite agent is not grounded because it succeeds. It is grounded when the variables that matter for fu,causal;agents;geometry;concern;ood;symmetry
papers/comprehensive_literature_review/paper.pdf,From Concern to Action Surfaces,15,local_pdf_text_extracted_all_pages,"From Concern to Action Surfaces 1 From Concern to Action Surfaces A Critical Literature Review and Research Program for Causally Grounded Finite Agents Date: 2026-07-07 Abstract This paper reviews the research-derived experiments corpus as a unified program about finite agents: systems that must compress a world, preserve viability-relevant distinctions, act under uncertainty, and remain honest under distribution shift. The review starts from first principles for readers without machine learning, neuroscience, or philosophy background, then links the repository's papers to external literatures in representation learning, causal inference, active learning, reinforcement learning, domain generalization, cybernetics, active inference, enactivism, and mathematical theories of symmetry and compression. The central synthesis is that the program is not a claim that current systems are conscious",causal;agents;geometry;concern;ood;symmetry
papers/concern_bootstrap/paper.pdf,Bootstrapping Concern,10,local_pdf_text_extracted_all_pages,"Bootstrapping Concern: DeltaE Auxiliary Loss Builds Valence Geometry on Easy Reward Structures, But Sparse-Reward Policies Cannot Exploit It Author. Jawaun Brown. Abstract Companion paper [7] left a clean open question: can valence-aligned representation self-organize from viability interaction, rather than being installed by supervised optimal-action pretraining? Three candidate mechanisms have been proposed: (a) an action-conditioned DeltaE auxiliary loss in which the encoder is trained to predict its own future energy change given an item and a candidate action; (b) an ecological curriculum (train on an additive reward structure where sensory proxies work, then shift to a conjunctive XOR reward where they fail); (c) evolutionary selection over populations. This paper tests (a) and (b) under sparse-reward REINFORCE and compares them against the supervised valence upper bound from [6, 7",causal;agents;geometry;concern;ood;symmetry
papers/concerned_syntax/paper.pdf,Constituency Tests for Concerned Representation in Minimal Agents,18,local_pdf_text_extracted_all_pages,"Constituency Tests for Concerned Representation in Minimal Agents Jawaun Brown 2026-06-22 Abstract Arc 1 of the maintained-concern program showed that a minimal homeostatic agent can detect boundary staleness, allocate costly null probes, saturate after identiﬁcation, and re-engage after regime shifts. It also found a precise ceiling: under a shared-head, null-only intervention regime, better probe policy no longer closes role-speciﬁc mediated identiﬁability. This paper opens Arc 2A by asking whether the next intervention problem is syntactic: can a concerned agent discover which parts of a world belong together causally? We introduce the Concerned Shape Grammar, a symbolic benchmark inspired by constituency tests from cognitive work on geometric shape syntax. A visible six-part shape can have the same surface but diﬀerent hidden parse trees. Causal roles such as shield, poison, repair, ",causal;agents;geometry;concern;ood;symmetry
papers/costly_null_probes/paper.pdf,Learning When Not to Act: Costly Null Probes for Self/World Identifiability in Minimal Homeostatic Agents,10,local_pdf_text_extracted_all_pages,"Learning When Not to Act: Costly Null Probes for Self/ World Identiﬁability in Minimal Homeostatic Agents Jawaun Brown 2026-06-11 Abstract Paper 16b (Identiﬁability Through Intervention) showed that scheduled null actions, when used as world- only supervision, break the self/world gauge symmetry that defeats architectural factorization (Paper 16). The agent learned the ﬁrst-order self/world boundary through the act of not acting - but the null actions were experimenter-scheduled. This paper asks whether a minimal homeostatic agent can learn when to spend a viability cost on a null probe such that the probe (i) improves attribution and (ii) ﬁres preferentially in states the model is uncertain about. We test seven conditions (factorized_no_null, factorized_null_passive, scheduled_null_anchor, matched_random_null_anchor, learned_costly_null_probe, oracle_uncertainty_probe, oracle_source) ac",causal;agents;geometry;concern;ood;symmetry
papers/current_error_calibration/paper.pdf,Current-Error Calibration for Identifying Interventions,10,local_pdf_text_extracted_all_pages,"Current-Error Calibration for Identifying Interventions: Recent Residuals Are Not Enough Unless Recomputed Against the Present Model Jawaun Brown 2026-06-12 Abstract Paper 18 (Online Identifying Interventions) found that the debiased V_probe head - designed to ﬁx Paper 17A's noise- ﬂoor saturation - was instead anti-calibrated to oracle attribution uncertainty (Spearman ρ = −0.55). The §5 diagnosis named ""historical residual scale != current systematic error,"" but conﬂated three distinct mechanisms: (H1) lag (EMA α=0.05 too slow), (H2) staleness (residuals computed against the model-as-it-was, not the model-as-it-is-now), and (H3) structural (same-class local signals are intrinsically non-epistemic). Paper 19 builds conditions that uniquely support each hypothesis. Three V_probe target variants test H1 (recent_ema α=0.20, sliding_window K=50) and one tests H2 (current_replay: per-bucket ",causal;agents;geometry;concern;ood;inquiry
papers/ensemble_uncertainty/paper.pdf,When Models Don't Know What They Don't Know,8,local_pdf_text_extracted_all_pages,"When Models Don't Know What They Don't Know: Bootstrap Ensembles Fail to Detect the Regime-Boundary Failure, Greedy Planning Remains Robust Author. Jawaun Brown. Abstract Companion paper [14] found that adding a regulate action lifts boundary-condition return from 24.5 to 42.5, but sophisticated planners (two-step lookahead, margin-conﬁdence) were worse than baseline because they used the model's own conﬁdence as a planning bonus and the model was conﬁdently wrong at the regime boundary. The reviewer's diagnostic proposal: train a K=5 ensemble of DeltaE heads; check whether calibrated ensemble uncertainty detects the boundary failure that margin-conﬁdence missed; test whether LCB-style risk-averse and UCB-style optimistic planners now rescue allostatic control. We ran the experiment as a falsiﬁable diagnostic, with the central question framed as: does calibrated ensemble uncertainty dete",agents;geometry;concern;ood;inquiry;consciousness
