candidate_id,status,evidence_level,source_kind,title,authors,year,venue,doi,url,arxiv_id,topics,abstract_available,abstract_summary,relevance_to_corpus,limitations,audit_ids,source_files,raw_reference
S2eeb050d46,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,(weakly supervised causal repr learning),,,,,,,causal_representation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0069,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Brehmer et al. (weakly supervised causal repr learning)
S9959b313d1,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,) - disjoint per-role heads via gated routing,,,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0079,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,Mixture of experts (Shazeer et al.) - disjoint per-role heads via gated routing
S9fbaf38826,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,): learning representations through contrast between matched/unmatched pairs,,,,,,,world_models,False,Resolved as a foundational topic rather than a single metadata record: contrastive representation learning. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the world-model and latent-state framing used across intervention, planning, and causal representation papers.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0055,.;/;_;a;c;d;e;g;i;l;m;n;o;p;r;s;t;v,Contrastive predictive coding (Oord et al.): learning representations through contrast between matched/unmatched pairs.
S43afbcf67c,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,", & Blundell, C",,2017,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Lakshminarayanan, B., Pritzel, A., & Blundell, C. (2017)."
S952d5156c2,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,", & Varela, F",,1980,,,,,general_foundation,False,Resolved as a foundational topic rather than a single metadata record: autopoiesis and self-producing organization. Use as conceptual background and repair the exact bibliographic target before final publication.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Maturana, H. R., & Varela, F. J. (1980)."
S7e17a0c96d,resolved_with_abstract,abstract_read,arxiv,Invariant Risk Minimization,Martin Arjovsky; Léon Bottou; Ishaan Gulrajani; David Lopez-Paz,2019,arXiv,,http://arxiv.org/abs/1907.02893v3,1907.02893,causal_representation;geometry_symmetry;ood_generalization;world_models,True,"We introduce Invariant Risk Minimization (IRM), a learning paradigm to estimate invariant correlations across multiple training distributions. Through theory and experiments, we show how the invariances learned by IRM relate to the causal structures governing the data and enable out-of-distribution generalization.","Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the geometric side of the corpus: invariances, equivariances, group actions, manifolds, and latent structure. Grounds warnings about shortcut solutions, underspecification, and failures of in-distribution success to imply robust transfer.",Abstract metadata was available; full text was not automatically read in this pass.,R0132;R0161,.;/;0;2;6;_;a;b;c;d;e;f;g;i;k;l;m;n;o;p;r;s;t;u;v;w,"Arjovsky, M., Bottou, L., Gulrajani, I., and Lopez-Paz, D. Invariant Risk Minimization. arXiv:1907.02893 (2019)."
S90f272b042,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"A Foray into the Worlds of Animals and Humans (English translation, 2010)",,2010,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Uexküll, J. von (1934). A Foray into the Worlds of Animals and Humans (English translation, 2010). University of Minnesota Press."
S9490cfd757,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"A Formal Theory of Inductive Inference, Parts I and II",,1964,,,,,agency_viability;uncertainty_inquiry;description_length,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling. Grounds simplicity, compression, and inductive-bias interpretations of generalization.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0129,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Solomonoff, R. J. A Formal Theory of Inductive Inference, Parts I and II. Information and Control 7(1):1-22, 7(2):224-254 (1964)."
S0a23896c38,resolved_with_abstract,abstract_read,openalex,Abandoning Objectives: Evolution Through the Search for Novelty Alone,Joel Lehman; Kenneth O. Stanley,2010,Evolutionary Computation,https://doi.org/10.1162/evco_a_00025,https://openalex.org/W2151083897,,general_foundation,True,This paper proposes an approach to circumventing deception that also yields a new perspective on open-ended evolution.,Provides background literature context; its exact role needs manual section-level placement.,Abstract metadata was available; full text was not automatically read in this pass.,R0111,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;t;u;v,"Lehman, J., & Stanley, K. O. (2011). Abandoning objectives: Evolution through the search for novelty alone. Evolutionary Computation, 19(2), 189-223."
Sf52c5bfd07,resolved_with_abstract,abstract_read,arxiv,Active Causal Experimentalist (ACE): Learning Intervention Strategies via Direct Preference Optimization,Patrick Cooper; Alvaro Velasquez,2026,arXiv,,http://arxiv.org/abs/2602.02451v2,2602.02451,causal_representation;agency_viability;uncertainty_inquiry;ood_generalization;meaning_mind,True,"We propose Active Causal Experimentalist (ACE), which learns experimental design as a sequential policy.","Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Abstract metadata was available; full text was not automatically read in this pass.,R0015;R0111,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;t;u;v;x;y,"Cooper, P., & Velasquez, A. (2026). Active Causal Experimentalist (ACE): Learning intervention strategies via direct preference optimization. arXiv: 2602.02451."
S3c7100f71f,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Active inference / Friston: precision tuning vs information dampening Honest framing line: > Paper 23B treats the probe mechanism as a habituation system: the agent should detect surprise normally but reduce its action tendency to keep probing after recent identifying interventions,,,,,,,causal_representation;agency_viability;uncertainty_inquiry,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0043,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,"Active inference / Friston: precision tuning vs information dampening Honest framing line: > Paper 23B treats the probe mechanism as a habituation system: the agent should detect surprise normally but reduce its action tendency to keep probing after recent identifying interventions. Cooling at the decision layer preserves the surprise signal as information; cooling at the signal layer risks false calm. That distinguishes us from ""just decay the surprise"" approaches."
S9add2a88f7,resolved_with_abstract,abstract_read,openalex,Active Inference and Epistemic Value in Graphical Models,Thijs van de Laar; Magnus Koudahl; Bart van Erp; Bert de Vries,2022,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.794464,https://openalex.org/W3197935079,,causal_representation;agency_viability;uncertainty_inquiry;world_models,True,The Free Energy Principle (FEP) postulates that biological agents perceive and interact with their environment in order to minimize a Variational Free Energy (VFE) with respect to a generative model of their environment. The inference of a policy (future control sequence) according to the FEP is known as Active Inference (AIF).,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Abstract metadata was available; full text was not automatically read in this pass.,R0141,.;/;_;a;d;e;l;m;n;o;p;r;s;w,Active Inference and Epistemic Value in Graphical Models
S02e48951c0,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Active Inference and Epistemic Value in Graphical Models Causal representation identifiability from interventions:,,,,,,,causal_representation;uncertainty_inquiry;world_models,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling. Grounds the world-model and latent-state framing used across intervention, planning, and causal representation papers.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0088,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Active Inference and Epistemic Value in Graphical Models Causal representation identifiability from interventions:
