file,title,kind,chars
papers/allostatic_control/paper.md,Allostatic State Control Works at the Boundary - But Greedy Planning Beats Uncertainty-Aware Allostasis: An Honest Falsification of Four Pre-Registered Gates,primary_paper,22648
papers/architecture_laws_machine_agency/paper.md,Architecture Laws for Machine Agency: A Synthesis of the Probe-Calibration Lineage,primary_paper,12801
papers/autopoietic_control/paper.md,From Active Geometry to Autopoietic Control: Viability Slack as the Bottleneck for Adaptive Generalization,primary_paper,19479
papers/causally_grounded_agents_benchmark/paper.md,Benchmarking Causally Grounded Finite Agents,primary_paper,13066
papers/comprehensive_literature_review/paper.md,From Concern to Action Surfaces,primary_paper,35454
papers/concern_bootstrap/paper.md,"Bootstrapping Concern: DeltaE Auxiliary Loss Builds Valence Geometry on Easy Reward Structures, But Sparse-Reward Policies Cannot Exploit It",primary_paper,24852
papers/concerned_syntax/paper.md,Constituency Tests for Concerned Representation in Minimal Agents,primary_paper,42035
papers/concerned_syntax/preregistration.md,Paper 2A Pre-Registration,preregistration_or_runbook,3483
papers/costly_null_probes/paper.md,Learning When Not to Act: Costly Null Probes for Self/World Identifiability in Minimal Homeostatic Agents,primary_paper,27167
papers/costly_null_probes/preregistration.md,Paper 17A - Pre-Registration,preregistration_or_runbook,8467
papers/current_error_calibration/paper.md,Current-Error Calibration for Identifying Interventions: Recent Residuals Are Not Enough Unless Recomputed Against the Present Model,primary_paper,26871
papers/current_error_calibration/preregistration.md,Paper 19 - Pre-Registration,preregistration_or_runbook,11974
papers/ensemble_uncertainty/paper.md,"When Models Don't Know What They Don't Know: Bootstrap Ensembles Fail to Detect the Regime-Boundary Failure, Greedy Planning Remains Robust",primary_paper,22144
papers/epistemic_exploration/paper.md,Learning to Ask What Matters: Conservative Epistemic Exploration Recovers Self-Organized Concern from a Biased Initial Policy; Novelty-Seeking Exploration Does Not,primary_paper,20735
papers/exploration_diagnostics/paper.md,Exploration Diagnostics: Skip-Branch Calibration Reveals Failure Modes; Margin-Based Epistemic Sampling Recovers Partially from Wrong-Init; All Mechanisms Fail Under High Noise,primary_paper,19547
