candidate_id,status,evidence_level,title,year,topics,reason,source_rows,source_files,raw_reference
S9fbaf38826,manual_foundational_reference,topic_inferred_from_citation_fragment,): learning representations through contrast between matched/unmatched pairs,,world_models,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0055,.;/;_;a;c;d;e;g;i;l;m;n;o;p;r;s;t;v,Contrastive predictive coding (Oord et al.): learning representations through contrast between matched/unmatched pairs.
S952d5156c2,manual_foundational_reference,topic_inferred_from_citation_fragment,", & Varela, F",1980,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Maturana, H. R., & Varela, F. J. (1980)."
S3c7100f71f,manual_foundational_reference,topic_inferred_from_citation_fragment,Active inference / Friston: precision tuning vs information dampening Honest framing line: > Paper 23B treats the probe mechanism as a habituation system: the agent should detect surprise normally but reduce its action tendency to keep probing after recent identifying interventions,,causal_representation;agency_viability;uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0043,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,"Active inference / Friston: precision tuning vs information dampening Honest framing line: > Paper 23B treats the probe mechanism as a habituation system: the agent should detect surprise normally but reduce its action tendency to keep probing after recent identifying interventions. Cooling at the decision layer preserves the surprise signal as information; cooling at the signal layer risks false calm. That distinguishes us from ""just decay the surprise"" approaches."
S02e48951c0,manual_foundational_reference,topic_inferred_from_citation_fragment,Active Inference and Epistemic Value in Graphical Models Causal representation identifiability from interventions:,,causal_representation;uncertainty_inquiry;world_models,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0088,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Active Inference and Epistemic Value in Graphical Models Causal representation identifiability from interventions:
Sf7662846db,manual_foundational_reference,topic_inferred_from_citation_fragment,Active inference and precision tuning: Friston's framing of attention-modulation as precision allocation,,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0033,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,Active inference and precision tuning: Friston's framing of attention-modulation as precision allocation
Sc26a92cf47,manual_foundational_reference,topic_inferred_from_citation_fragment,"Active Inference: The Free Energy Principle in Mind, Brain, and Behavior",2022,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Parr, T., Pezzulo, G., & Friston, K. (2022). Active Inference: The Free Energy Principle in Mind, Brain, and Behavior. MIT Press."
S225ec82f4a,manual_foundational_reference,topic_inferred_from_citation_fragment,Adaptive thresholds in change-point detection: CUSUM with reset,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0042,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Adaptive thresholds in change-point detection: CUSUM with reset
S5f88ff7222,manual_foundational_reference,topic_inferred_from_citation_fragment,"Adaptive thresholds in change-point detection: CUSUM-with-reset, Page-Hinkley",,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0032,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,"Adaptive thresholds in change-point detection: CUSUM-with-reset, Page-Hinkley"
S2ecdbe4371,manual_foundational_reference,topic_inferred_from_citation_fragment,Awakening from the Meaning Crisis,2019,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0019;R0099,.;/;;;_;a;b;c;d;e;f;g;i;l;m;n;o;p;r;s;t;u;v;y;z,"Vervaeke, J. (2019). Awakening from the Meaning Crisis. Lecture series."
S38815ef3ca,manual_foundational_reference,topic_inferred_from_citation_fragment,Awakening from the Meaning Crisis (lecture series),2019,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Vervaeke, J. (2019). Awakening from the Meaning Crisis (lecture series). University of Toronto."
S982b604310,manual_foundational_reference,topic_inferred_from_citation_fragment,BALD / information gain / active inference: Bayesian Active Learning by Disagreements; Active Inference and Epistemic Value in Graphical Models,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0106,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,BALD / information gain / active inference: Bayesian Active Learning by Disagreements; Active Inference and Epistemic Value in Graphical Models.
